Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Abstract,Index Keywords,Search_Etiquette
Galea S.; Keyes K.M.,"Galea, Sandro (7006024584); Keyes, Katherine M (14060178900)",7006024584; 14060178900,Epidemiology at the Heart of Population Health Science,2019,American Journal of Epidemiology,9,10.1093/aje/kwy222,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065516965&doi=10.1093%2faje%2fkwy222&partnerID=40&md5=f9db58b3135424c0472d08df8ce99fc0,"Epidemiology has long been concerned with understanding the causes of health and disease states so that we can improve the health of populations. Despite broad agreement on this definition of the field, we continue to debate certain core goals of epidemiology: whether epidemiology is a pragmatic science or not, which methods constitute epidemiologic methods, and what our gold-standard thinking should be to understand causation. We suggest that recognizing epidemiology as the quantitative heart of population health science can push these tensions aside and allow us to focus our science on the health of populations and on the processes that shape that health. Seeing epidemiology as the core quantitative health science has implications for the questions we ask, how we organize ourselves as a field, and how we train the next generation of epidemiologists. © 2019 The Author(s) 2019. Published by Oxford University Press on behalf of the Johns Hopkins Bloomberg School of Public Health. All rights reserved.","Epidemiologic Methods; Epidemiology; Humans; Philosophy, Medical; Population Health; Public Health Practice; disease treatment; epidemiology; health science; historical perspective; philosophy; public health; quantitative analysis; science and technology; acute heart infarction; cardiovascular disease; disease burden; epidemiological data; epidemiologist; gold standard; human; lung cancer; pancreas cancer; population health; population health science; public health; quantitative study; Review; risk factor; traffic accident; United States; epidemiology; organization and management; philosophy; public health service",Health Sciences
Santiago-Delefosse M.; Gavin A.; Bruchez C.; Roux P.; Stephen S.L.,"Santiago-Delefosse, M. (6603631281); Gavin, A. (56490178300); Bruchez, C. (6507814224); Roux, P. (49862046800); Stephen, S.L. (56490264500)",6603631281; 56490178300; 6507814224; 49862046800; 56490264500,Quality of qualitative research in the health sciences: Analysis of the common criteria present in 58 assessment guidelines by expert users,2016,Social Science and Medicine,91,10.1016/j.socscimed.2015.11.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949657955&doi=10.1016%2fj.socscimed.2015.11.007&partnerID=40&md5=fe4f2ba708a1bc134e4a73914fbf3a37,"The number of qualitative research methods has grown substantially over the last thirty years, both in social sciences and, more recently, in health sciences. This growth came with questions on the quality criteria needed to evaluate this work, and numerous guidelines were published. These guidelines, however, include many discrepancies, both in terms of vocabulary and structure. Many expert evaluators also decry the absence of consensual and reliable evaluation tools. To address this gap, we present the results of an evaluation of 58 existing guidelines in four major health science fields (medicine and epidemiology; nursing and health education; social sciences and public health; psychology/psychiatry, research methods and organization) by expert (n = 16) and peer (n = 40) users (e.g., article reviewers, experts allocating funds, editors). This research was conducted between 2011 and 2014 at the University of Lausanne in Switzerland. Experts met during three workshops spread over this period. A series of 12 consensual essential criteria, along with definitions, stemmed from a question in a semi-qualitative evaluation questionnaire that we developed. Although there is consensus on the name of the criteria, we highlight limitations on the ability to compare specific definitions of criteria across health science fields. We conclude that each criterion must be explained to come to broader consensus and identify definitions that are easily operational and consensual to all fields examined. © 2015 Elsevier Ltd.",Consensus; Guidelines as Topic; Humans; Qualitative Research; Switzerland; Universities; Switzerland; assessment method; guideline; health care; qualitative analysis; clinical article; consensus; controlled study; editor; health education; health science; human; instrument validation; linguistics; nursing; practice guideline; psychiatry; psychology; public health; qualitative analysis; qualitative research; questionnaire; sociology; Switzerland; university; consensus,Health Sciences
Nahas A.R.M.F.; Elkalmi R.M.; Al-Shami A.M.; Elsayed T.M.,"Nahas, Abdul Rahman M. Fata (55693703700); Elkalmi, Ramadan M. (35344833500); Al-Shami, Abdulkareem M. (55850024400); Elsayed, Tarek M. (58164308600)",55693703700; 35344833500; 55850024400; 58164308600,Prevalence of depression among health sciences students: Findings from a public university in Malaysia,2019,Journal of Pharmacy and Bioallied Sciences,26,10.4103/JPBS.JPBS_263_18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065203645&doi=10.4103%2fJPBS.JPBS_263_18&partnerID=40&md5=0bc82f4e40f1eca6c44224ea67450449,"Background: High rates of psychological problems including depression among university students have been reported in various studies around the world. The objectives of this study were to explore the prevalence of depressive disorder, as well as the associated sociodemographic factors (gender, origin, school, and year of study) among health sciences students. Materials and Methods: This cross-sectional study was conducted among 425 students from 5 different schools of health sciences at International Islamic University Malaysia, using the Patient Health Questionaire-9 (PHQ-9). Results: With a response rate of 85.9% (n = 365), the results showed a depressive disorder prevalence of 36.4%. The mean PHQ-9 score of the respondents was 8.10 (SD = 4.9), indicating mild depression severity. A statistically significant association was revealed between gender and severity of depression (P = 0.03), as well as between students' origin and severity of depression (P = 0.02). Conclusion: The findings indicated high prevalence of depression among undergraduate health sciences students. While providing significant information to students' affairs department, the study findings suggest the necessity to address depressive disorder in health sciences university students in Malaysia. Future research is needed to confirm these results in larger samples. © 2019 Journal of Pharmacy and Bioallied Sciences.",adolescent; Article; controlled study; cross-sectional study; demography; depression; disease severity; female; gender; health science; health student; human; major clinical study; Malaysia; male; Patient Health Questionnaire 9; prevalence; priority journal; university,Health Sciences
Stucki G.; Rubinelli S.; Reinhardt J.D.; Bickenbach J.E.,"Stucki, G. (7101712130); Rubinelli, S. (57203628216); Reinhardt, J.D. (16480917400); Bickenbach, J.E. (35290585600)",7101712130; 57203628216; 16480917400; 35290585600,Towards a Common Understanding of the Health Sciences,2016,Gesundheitswesen,5,10.1055/s-0042-108442,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978043709&doi=10.1055%2fs-0042-108442&partnerID=40&md5=1734a0760e8b742bf543d5fef9948100,"Objective: The aim of health sciences is to maintain and improve the health of individuals and populations and to limit disability. Health research has expanded astoundingly over the last century and a variety of scientific disciplines rooted in very different scientific and intellectual traditions has contributed to these goals. To allow health scientists to fully contextualize their work and engage in interdisciplinary research, a common understanding of the health sciences is needed. The aim of this paper is to respond to the call of the 1986 Ottawa Charter to improve health care by looking both within and beyond health and health care, and to use the opportunity offered by WHO's International Classification of Functioning, Disability and Health (ICF) for a universal operationalization of health, in order to develop a common understanding and conceptualization of the field of health sciences that account for its richness and vitality. Methods: A critical analysis of health sciences based on WHO's ICF, on WHO's definition of health systems and on the content and methodological approaches promoted by the biological, clinical and socio-humanistic traditions engaged in health research. Results: The field of health sciences is presented according to: 1) a specification of the content of the field in terms of people's health needs and the societal response to them, 2) a meta-level framework to exhaustively represent the range of mutually recognizable scientific disciplines engaged in health research and 3) a heuristic framework for the specification of a set of shared methodological approaches relevant across the range of these disciplines. Conclusion: This conceptualization of health sciences is offered to contextualize the work of health researchers, thereby fostering interdisciplinarity. © Georg Thieme Verlag KG Stuttgart New York.","Disabled Persons; Health Knowledge, Attitudes, Practice; Health Policy; Health Services Research; Humans; International Classification of Functioning, Disability and Health; Models, Organizational; Organizational Objectives; Science; attitude to health; disabled person; health care policy; health services research; human; International Classification of Functioning, Disability and Health; nonbiological model; organization; organization and management; rehabilitation; science",Health Sciences
Ugidos Lozano M.T.; Haro F.B.; Ruggiero A.; Manzoor S.; Juanes Méndez J.A.,"Ugidos Lozano, M.T. (57200375069); Haro, F. Blaya (57192814243); Ruggiero, Alessandro (7005506098); Manzoor, S. (55788681700); Juanes Méndez, J.A. (7004223337)",57200375069; 57192814243; 7005506098; 55788681700; 7004223337,Evaluation of the Applicability of 3d Models as Perceived by the Students of Health Sciences,2019,Journal of Medical Systems,14,10.1007/s10916-019-1238-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063159616&doi=10.1007%2fs10916-019-1238-0&partnerID=40&md5=ee0dcc370ebf3e9d9f17bbd35197963b,"The methodology and style of teaching anatomy in the faculties of Health Sciences is evolving due to the changes being introduced as a result of the application of new technologies. This brings a more positive attitude in the students, enabling an active participation during the lessons. One of these new technologies is the creation of 3D models that reliably recreates the anatomical details of real bone pieces and allow access of anatomy students to bone pieces that are not damaged and possess easily identifiable anatomical details. In our work, we have presented previously created 3D models of skull and jaw to the students of anatomy in the Faculties of Health Sciences of the University of Salamanca, Spain. The faculties included were odontology, medicine, occupational therapy nursing, health sciences and physiotherapy. A survey was carried out to assess the usefulness of these 3D models in the practical study of anatomy. The total number of students included in the survey was 280.The analysis of the results presents a positive evaluation about the use of 3D models by the students studying anatomy in different Faculties of Health Sciences. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.","Adult; Anatomy; Female; Health Occupations; Humans; Male; Models, Anatomic; Perception; Printing, Three-Dimensional; Spain; Students, Health Occupations; Young Adult; anatomy; article; case report; clinical article; health science; human; jaw; occupational therapy; odontology; physiotherapy; Spain; student; three dimensional printing; adult; anatomic model; anatomy; education; female; health student; male; medical profession; perception; psychology; young adult",Health Sciences
Al-Worafi Y.M.; Hermansyah A.; Tan C.S.; Choo C.-Y.; Bouyahya A.; Paneerselvam G.S.; Liew K.B.; Goh K.W.; Ming L.C.,"Al-Worafi, Yaser Mohammed (58143034700); Hermansyah, Andi (42361153200); Tan, Ching Siang (58506512400); Choo, Chee-Yan (7004583242); Bouyahya, Abdelhakim (57190813643); Paneerselvam, Ganesh Sritheran (57205431953); Liew, Kai Bin (54583862100); Goh, Khang Wen (57210704305); Ming, Long Chiau (55745857500)",58143034700; 42361153200; 58506512400; 7004583242; 57190813643; 57205431953; 54583862100; 57210704305; 55745857500,"Applications, Benefits, and Risks of ChatGPT in Medical and Health Sciences Research: An Experimental Study",2023,Progress in Microbes and Molecular Biology,4,10.36877/pmmb.a0000337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163660173&doi=10.36877%2fpmmb.a0000337&partnerID=40&md5=8def287d5645690961070e57b3786582,"This article explored the potential applications, benefits, and risks of using ChatGPT in medical and health sciences research. The experimental study was performed with content analysis of the potential applications, benefits and risks of using ChatGPT in medical and health sciences research. This study shows many potential applications, benefits, and risks of using ChatGPT in medical and health sciences research. The average experts’ ChatGPT appropriateness and accuracy rates in the eight research themes were between 60% and 95%. This concludes that ChatGPT could help medical and health sciences researchers, especially new researchers, with caution in many aspects of research. The ChatGPT is still in the early phase of use by researchers worldwide, and its ability to help in research will be better soon. Attending training workshops about ChatGPT and AI is very important and highly recommended. The practice of ChatGPT in medical and health sciences research is important and recommended to explore the potential uses, benefits, risks and suggest recommendations for the best practice. © 2023, HH Publisher. All rights reserved.",,Health Sciences
Simco G.,"Simco, Greg (6603108125)",6603108125,Internet 2 health sciences initiative,2003,Internet and Higher Education,1,10.1016/S1096-7516(03)00047-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942549384&doi=10.1016%2fS1096-7516%2803%2900047-2&partnerID=40&md5=64d19f852f9bbc243d16f268019a1bc5,"The support of both the academic and practical application of health sciences highlights the challenge of the Internet 2 (I2) health sciences initiative (I2HSI). This effort involves both the formulation of applications and supporting technologies as well as guidelines for their use in the area of health sciences. Key elements of the I2HSI include the use of visualization, collaboration, medical informatics, telemedicine, and educational tools that support the field of health sciences. Specific medical middleware (MedMid) and virtual reality techniques provide a technology base that enable educators and practitioners to advance the field of health sciences. The I2HSI continues to advance collaboration in distributed health science environments with a focus on security, performance, and policy. © 2003 Elsevier Inc. All rights reserved.",Education; Health; Information technology; Middleware; Neurology; Problem solving; Telemedicine; Virtual reality; Visualization; Collaborations; Internet 2 health sciences initiative; Medical informatics; MedMid; Internet,Health Sciences
Boraas B.A.,"Boraas, Bruce A. (57205651259)",57205651259,Applications programming in a health sciences computing center,1971,"Proceedings of the 1971 26th Annual Conference, ACM 1971",0,10.1145/800184.810528,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060915024&doi=10.1145%2f800184.810528&partnerID=40&md5=e4a3ea71c54c6e6bbfaee41a33e8f644,"Establishing an applications programming staff, as an integral part of a division of Health Computer Sciences within a health sciences community, requires a balance of technical personnel, computer system configurations, and specialized professional health science expertise. The reasons for establishing and maintaining such a staff are as varied as the demands of the health sciences community. The fluctuations of grant awards and contracts, health care delivery analyses, goals, and research personnel continually test the stability of a functional computer science-health sciences applications programming staff. The methods and procedures by which the Division of Health Computer Sciences at the University of Minnesota has, and is, asymptotically approaching a robust balance as a functioning applications programming staff are briefly presented in this paper. © 1971 Association for Computing Machinery, Inc. All rights reserved.",Functional programming; Health care; Mathematical programming; Medical computing; Personnel; Computing center; Health science; Integral part; Service recharge; System configurations; Technical personnel; University of Minnesota; Computer systems programming,Health Sciences
Laynor G.; Tagge N.; Magro J.; De Armond M.; Rau R.A.; Vardell E.,"Laynor, Gregory (57208629901); Tagge, Natalie (35485723200); Magro, Juliana (57223272647); De Armond, Megan (57209231741); Rau, Renée A. (58640474400); Vardell, Emily (38562182700)",57208629901; 35485723200; 57223272647; 57209231741; 58640474400; 38562182700,Mapping the pathways to health sciences librarianship: reflections and future implications from an immersion session,2023,Journal of the Medical Library Association,1,10.5195/jmla.2023.1645,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173789009&doi=10.5195%2fjmla.2023.1645&partnerID=40&md5=d2005db129c49fe26bf3f08768164246,"Objective: Many health sciences librarians enter the profession without specific health sciences training. Some LIS programs have health sciences courses or tracks, but health sciences training within an LIS program is only one path to entering health sciences librarianship. To develop a map of pathways into health sciences librarianship, an immersion session at the Medical Library Association conference in 2022 asked health sciences librarians to share how they entered the profession. Methods: The immersion session was structured in three parts: facilitator introductions, small group discussions, and a whole group summary discussion. Guided by questions from the facilitators, small groups discussed what pathways currently exist, how to promote existing pathways, what new pathways should be created, and how to develop and promote pathways that make the profession more equitable, diverse, and inclusive. Results: Through in-the-moment thematic analysis of the small group discussions, the following emerged as key pathways: library school education; internships and practica; the Library and Information Science (LIS) pipeline; on-the-job training; mentoring; self-teaching/hands-on learning; and continuing education. Themes of equity, diversity, and inclusion arose throughout the session, especially in the concluding whole group discussion. Conclusion: Small group discussions in a conference immersion session showed the value of community building in a profession that has multiple pathways for entrance, highlighting the importance of unearthing hidden knowledge about avenues for exploring and enhancing career pathways. The article seeks to address barriers to entry into the profession and adds to the literature on strengthening the field of health sciences librarianship. © 2023, Medical Library Association. All rights reserved.","Immersion; Information Science; Libraries, Medical; Library Associations; Library Science; article; career; continuing education; diversity, equity and inclusion; education; human; human experiment; immersion; information science; learning; mentoring; occupation; pipeline; school; teaching; thematic analysis",Health Sciences
Marcos-Pablos S.; García-Peñalvo F.J.,"Marcos-Pablos, Samuel (57204363393); García-Peñalvo, Francisco José (16031087300)",57204363393; 16031087300,More than surgical tools: a systematic review of robots as didactic tools for the education of professionals in health sciences,2022,Advances in Health Sciences Education,15,10.1007/s10459-022-10118-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133171750&doi=10.1007%2fs10459-022-10118-6&partnerID=40&md5=2ea328fee3aee0c7b71f929e063a6961,"Within the field of robots in medical education, most of the work done during the last years has focused on surgeon training in robotic surgery, practicing surgery procedures through simulators. Apart from surgical education, robots have also been widely employed in assistive and rehabilitation procedures, where education has traditionally focused in the patient. Therefore, there has been extensive review bibliography in the field of medical robotics focused on surgical and rehabilitation and assistive robots, but there is a lack of survey papers that explore the potential of robotics in the education of healthcare students and professionals beyond their training in the use of the robotic system. The scope of the current review are works in which robots are used as didactic tools for the education of professionals in health sciences, investigating the enablers and barriers that affect the use of robots as learning facilitators. Systematic literature searches were conducted in WOS and Scopus, yielding a total of 3812 candidate papers. After removing duplicates, inclusion criteria were defined and applied, resulting in 171 papers. An in-depth quality assessment was then performed leading to 26 papers for qualitative synthesis. Results show that robots in health sciences education are still developed with a roboticist mindset, without clearly incorporating aspects of the teaching/learning process. However, they have proven potential to be used in health sciences as they allow to parameterize procedures, autonomously guide learners to achieve greater engagement, or enable collective learning including patients and instructors ""in the loop"". Although there exist documented added-value benefits, further research and efforts needs to be done to foster the inclusion of robots as didactic tools in the curricula of health sciences professionals. On the one hand, by analyzing how robotic technology should be developed to become more flexible and usable to support both teaching and learning processes in health sciences education, as final users are not necessarily well-versed in how to use it. On the other, there continues to be a need to develop effective and standard robotic enhanced learning evaluation tools, as well good quality studies that describe effective evaluation of robotic enhanced education for professionals in health sciences. As happens with other technologies when applied to the health sciences field, studies often fail to provide sufficient detail to support transferability or direct future robotic health care education programs. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.",Curriculum; Health Personnel; Humans; Learning; Midazolam; Robotics; midazolam; adult; education; education program; female; field study; health education; human; learning; male; medical education; quality control; review; robotics; Scopus; synthesis; systematic review; curriculum; education; health care personnel,Health Sciences
Cai Z.; Ji X.; Rao H.; Hao Z.; Li X.; Li S.,"Cai, Zhifeng (57887727900); Ji, Xiuliang (58614115100); Rao, Huaxiang (58614414900); Hao, Zengping (58291060000); Li, Xiaojing (57887272700); Li, Shoujiang (57221602566)",57887727900; 58614115100; 58614414900; 58291060000; 57887272700; 57221602566,Research on the strategies of health science popularization under the background of new media in Qinghai CDC,2023,Journal of Medical Pest Control,0,10.7629/yxdwfz202306020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171982561&doi=10.7629%2fyxdwfz202306020&partnerID=40&md5=2b79d70285ae4c4bcd2c1855be84928a,"As an important public health product, health science popularization is one of the most economical and effective public health strategies, which is very important to improve the level of public health. As the authority of health science popularization, Centers for Disease Control and Prevention (CDC) is facing many challenges and opportunities in the new media era. Through the investigation and analysis of the current situation of health science popularization in Qinghai CDC, this paper sorts out the problems and shortcomings from the perspectives of communicators, communication content, communication means and recipients. In the context of new media, with the help of health communication related theories, this paper proposes six strategies for Qinghai CDC to improve the effectiveness of health science popularization:improving the ""two databases and one mechanism"", accurately grasping the role positioning, building the platform matrix, improving the precision of targeted services, creating the featured brand and standardizing the publicity image of science popularization. © 2023, Editorial Department of Medical Pest Control. All rights reserved.",,Health Sciences
Casucci T.; Gregory J.M.; Shipman J.P.,"Casucci, Tallie (56681097300); Gregory, Joan M. (7402520368); Shipman, Jean P. (7004152803)",56681097300; 7402520368; 7004152803,Appy Hour: Health Sciences Professionals Learn About Apps,2016,Medical Reference Services Quarterly,1,10.1080/02763869.2016.1189777,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978151482&doi=10.1080%2f02763869.2016.1189777&partnerID=40&md5=c01bf09ee42b318d8ff230397d43820e,"Appy Hour is a recurring event hosted by an academic health sciences library featuring apps that are informally presented and demonstrated by invited speakers. The audience is encouraged to ask questions during the presentation of the featured app(s). This event provides learning and networking opportunities for health sciences faculty, staff, students, and health care professionals. This article illustrates the process for hosting the event, shares lessons learned, and discusses possible future directions to gain a wider audience. © 2016, Published with license by Taylor & Francis.","Health Personnel; Humans; Libraries, Medical; Software; health science; human; human experiment; learning; library; staff; student; health care personnel; software",Health Sciences
AlShayhan F.A.; Saadeddin M.,"AlShayhan, Fahad Abdullah (57195527910); Saadeddin, Munir (6506907190)",57195527910; 6506907190,Prevalence of low back pain among health sciences students,2018,European Journal of Orthopaedic Surgery and Traumatology,29,10.1007/s00590-017-2034-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028585425&doi=10.1007%2fs00590-017-2034-5&partnerID=40&md5=2a04dbc908ae8993570f49d77ac753f9,"Aim: To determine the prevalence of low back pain (LBP) among health sciences students and to identify the associated factors. Methods: Cross-sectional study was conducted among 1163 students from five health sciences colleges during the academic year 2016–2017. Self-administered questionnaire was conducted and included 4 sections: demographic characteristics, risk factors, Nordic musculoskeletal questionnaire and Oswestry disability questionnaire. Data were analyzed using SPSS. Results: Mean age was 20.74 ± (1.59 years). 70.9% of students were female. Lifetime prevalence of LBP was 56.6%, 12-month prevalence 48.8%, and point prevalence 21.2%. Dentistry students had highest lifetime prevalence of LBP (67.6%) with significant p value (<0.001). Male were found to have higher lifetime prevalence compared to female (p ≤ 0.001). Spending more than 10 h on computer or tablet was significantly associated with LBP (OR 2.19; 95% CI 1.30–3.70; p = 0.003). Feeling discomfort on bed was associated with LBP (OR 1.81; 95% CI 1.38–2.38; p ≤ 0.001). Uncomfortable college furniture was associated with LBP (OR 1.40; 95% CI 1.09–1.79; p = 0.008). Using heavy backpack was found to be associated with LBP (OR 1.49; 95% CI 1.01–2.03; p = 0.011). Most of students LBP (90.3%) found to cause minimal disability on Oswestry scale. Conclusion: This study has shown high prevalence of LBP among future healthcare provider. These risk factors should be well established to minimize the prevalence of LBP among future health sciences students. Dentistry students at higher risk of developing LBP compared to other students. © 2017, Springer-Verlag France SAS.","Adolescent; Computers, Handheld; Cross-Sectional Studies; Disability Evaluation; Female; Health Surveys; Humans; Interior Design and Furnishings; Low Back Pain; Male; Prevalence; Risk Factors; Saudi Arabia; Sex Factors; Students, Dental; Students, Health Occupations; Young Adult; adult; Article; college student; controlled study; cross-sectional study; demography; dental student; disability; female; health science; human; low back pain; major clinical study; male; musculoskeletal disease assessment; Nordic musculoskeletal questionnaire; Oswestry Disability Index; prevalence; priority journal; questionnaire; risk factor; sex difference; adolescent; furniture; health student; health survey; low back pain; personal digital assistant; Saudi Arabia; sex factor; statistics and numerical data; young adult",Health Sciences
Montenegro-Montero A.; Young C.,"Montenegro-Montero, Alejandro (56388640300); Young, Charles (57666288700)",56388640300; 57666288700,Introducing Health Science Reports,2018,Health Science Reports,0,10.1002/hsr2.15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083489441&doi=10.1002%2fhsr2.15&partnerID=40&md5=2105be3744d1d9834165ca4532c9ae0c,"Wiley is proud to announce the launch of Health Science Reports. I talked to the Editor in Chief, Dr. Charles Young, about the journal, its philosophy, and its contribution to scientific communication in the health sciences. © 2017 The Authors. Health Science Reports published by Wiley Periodicals, Inc.",editorial; Editorial; emergency medicine; health education; health science; human; medical education; medical practice; open access publishing; publication; training,Health Sciences
Rowbotham S.; McKinnon M.; Leach J.; Lamberts R.; Hawe P.,"Rowbotham, Samantha (35337689000); McKinnon, Merryn (55810314200); Leach, Joan (58005612600); Lamberts, Rod (56480251600); Hawe, Penelope (7003744581)",35337689000; 55810314200; 58005612600; 56480251600; 7003744581,Does citizen science have the capacity to transform population health science?,2019,Critical Public Health,49,10.1080/09581596.2017.1395393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033688409&doi=10.1080%2f09581596.2017.1395393&partnerID=40&md5=537696049aa7456a19940cbbeee43dff,"Citizen science engages members of the public in research design, data collection, and analysis–in asking and answering questions about the world around them. The United States, European Union, and Australia have placed citizen science at the forefront of national science policy. Journals such as Science, Nature and Bioscience regularly feature projects conducted by citizens. Citizen science engages millions of people worldwide. However, to date, population health science has not relied heavily on citizen contributions. Although community-based participatory action research remains a strong foundational method to engage those affected by public health problems, there is additional potential to mainstream population health through wider, less intensive opportunities to be involved in our science. If we are to tackle the complex challenges that face population health then new avenues are needed to capture the energy and attention of citizens who may not feel affected by public health problems, i.e. to engage the ‘by-standers’ in population health science. Particular types of citizen science methods have the potential to do this. But simply increasing the breadth and volume of scientific evidence will not be enough. Complex, intractable, macro-level problems in population health require change in how our journals and funding bodies respond to data generated by the public. Of course, democratisation of science and the potential decentralisation of scientific authority will bring deep challenges. But potentially it brings a future where population health science is better known, understood and respected, with benefits for the types of public policies that derive from this science. © 2017, © 2017 Informa UK Limited, trading as Taylor & Francis Group.",attention; Australia; community participation; European Union; funding; health science; human; information processing; public health problem; public policy; United States,Health Sciences
Agyapong-Opoku G.; Agyapong B.; Obuobi-Donkor G.; Eboreime E.,"Agyapong-Opoku, Gerald (57207916761); Agyapong, Belinda (57392277200); Obuobi-Donkor, Gloria (57219857566); Eboreime, Ejemai (57094151100)",57207916761; 57392277200; 57219857566; 57094151100,Depression and Anxiety among Undergraduate Health Science Students: A Scoping Review of the Literature,2023,Behavioral Sciences,6,10.3390/bs13121002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180204377&doi=10.3390%2fbs13121002&partnerID=40&md5=b306b156e4b72267c21f212cd5114a37,"Background: Health science students in post-secondary institutions experience high levels of depression and anxiety due to increased stress levels, workload, low socioeconomic status, and history of family mental illness, among other factors. Given the significant negative impact that depression and anxiety can have on undergraduate health science students, it is essential to understand the prevalence and correlation of these conditions in this population. In light of this, this scoping review aims to identify, document, and analyze the literature on the prevalence and determinants of anxiety and depression among undergraduate health sciences students and identify gaps in knowledge for future research. Methods: This scoping review was planned and executed using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for the Scoping Reviews statement. A comprehensive and systematic search was carried out for five databases, namely MEDLINE, Scopus, EMBASE, CINAHL, and PubMed. Results: From the literature identified by our search strategy, the lowest prevalence for anxiety was 5.8%, and the highest was 82.6%, with a median of 44.25%. The prevalence of depression ranged from a high of 88.8% to a low of 2.1%, with a median value of 34.8%. Our analysis revealed that correlates of anxiety and depression among health science students include sociodemographic factors such as age, sex, gender, relationships, ethnicity, and family history, personal health conditions, and academic and socioeconomic issues. Conclusions: With the high incidence of anxiety and depression among health science students, there is an increasing need to find practical remedies to support these students. It is also essential for policymakers and university authorities to implement interventions such as supportive text messages and other strategies geared toward providing support and improving the psychological well-being of health science students. © 2023 by the authors.",,Health Sciences
van Rensburg E.S.J.,"van Rensburg, Elsie S. Janse (59335559800)",59335559800,Resilience of undergraduate health sciences students during COVID-19: An integrative review,2023,Health SA Gesondheid,0,10.4102/hsag.v28i0.2331,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204449954&doi=10.4102%2fhsag.v28i0.2331&partnerID=40&md5=140205809585c616f1aff02761d60aa9,"Background: COVID-19 pandemic placed pressure on global health systems, healthcare providers and undergraduate students in health sciences. Students experienced change in the teaching and learning as well as the clinical context resulting in increased stress levels. Resilience assisted students to adapt and develop competencies and effective coping mechanisms. Aim: The purpose of this integrative review is to identify resilience of undergraduate students in health sciences during the COVID-19 pandemic. Setting: Online platforms. Methods: An integrative review was conducted with keywords: resilience, undergraduate students, health sciences and COVID-19. Three different searches were conducted for the time frame 2020–2022 on the relevant electronic data bases with full text articles. A total of 1665 records were identified and 49 potentially relevant articles were identified. Screening resulted in 34 articles that were analysed using the John Hopkins critical appraisal criteria. Results: Four themes were identified: attributes of students’ resilience, aspects enhancing the development of resilience, aspects hindering the development of resilience and recommendations to cultivate resilience. Conclusion: Resilience is key to withstand the challenges in the global health system. The development of resilience in undergraduate health sciences students should be prioritised to ensure cognitive adaptability, effective coping skills and sufficient support. Contribution: These findings can assist higher educational institutions to improve their undergraduate health science programs to cultivate resilient health care professionals. © 2023. The Author.",,Health Sciences
Pokharel P.K.; Budhathoki S.S.; Upadhyay M.P.,"Pokharel, P.K. (14057076400); Budhathoki, S.S. (56128772400); Upadhyay, M.P. (7003464262)",14057076400; 56128772400; 7003464262,Teaching district concept of BP Koirala institute of health sciences: An inter-disciplinary community based medical education and health service delivery model in rural Nepal,2016,Kathmandu University Medical Journal,11,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019123406&partnerID=40&md5=1ed5e06ffd43aec6a5dfb1f8eb3e204a,"Community based education trains health professional students to deal with the community health problems. The attitude and skills they gain as planners for health care provision are applicable in both hospital and community settings. B P Koirala Institute of Health Sciences has implemented a model of Community based education which encompasses the health institutions, organisations and the communities of the sixteen districts in eastern Nepal and refers to this concept as the ‘Teaching District” concept of B P Koirala Institute of Health Sciences. This paper seeks to describe the concept and its implementation. Almost 20 years have passed since first initiated; and pending a comprehensive evaluation, this concept has gathered a great deal of experience to serve as a model for partnership between academic health sciences institutions with the district health system of Nepal. © 2016, Kathmandu University. All rights reserved.","Academies and Institutes; Attitude; Delivery of Health Care; Education, Medical; Health Education; Health Personnel; Humans; Nepal; Patient Care Team; community medicine; health care delivery; health science; human; human experiment; medical education; medical school; model; Nepal; attitude; education; health care delivery; health care personnel; health education; medical education; Nepal; organization; patient care; procedures; standards",Health Sciences
